time,open,high,low,close,volume
2025-08-04 18:00:00+00:00,6317.02,6322.22,6316.56,6317.55,1201
2025-08-04 18:15:00+00:00,6317.8,6320.68,6316.77,6318.9,952
2025-08-04 18:30:00+00:00,6319.03,6323.13,6317.43,6318.7,1146
2025-08-04 18:45:00+00:00,6318.45,6319.94,6316.73,6317.95,884
2025-08-04 19:00:00+00:00,6317.71,6321.15,6316.44,6320.38,1023
2025-08-04 19:15:00+00:00,6320.51,6326.43,6320.13,6321.59,1254
2025-08-04 19:30:00+00:00,6321.83,6323.95,6318.06,6321.73,1145
2025-08-04 19:45:00+00:00,6321.49,6331.08,6321.24,6329.5,2437
2025-08-04 20:00:00+00:00,6329.58,6337.91,6327.75,6336.73,2071
2025-08-04 20:15:00+00:00,6336.61,6338.76,6336.48,6337.77,327
2025-08-04 20:30:00+00:00,6337.52,6340.75,6337.52,6340.51,205
2025-08-04 20:45:00+00:00,6340.26,6342.54,6339.53,6342.29,188
2025-08-04 22:00:00+00:00,6343.13,6345.13,6340.0,6340.38,535
2025-08-04 22:15:00+00:00,6340.13,6341.38,6337.88,6338.38,261
2025-08-04 22:30:00+00:00,6338.5,6338.88,6336.38,6337.88,355
2025-08-04 22:45:00+00:00,6337.63,6338.88,6337.13,6338.13,180
2025-08-04 23:00:00+00:00,6338.38,6340.63,6337.63,6340.63,148
2025-08-04 23:15:00+00:00,6340.38,6342.63,6337.38,6337.88,293
2025-08-04 23:30:00+00:00,6337.75,6338.13,6335.5,6338.13,297
2025-08-04 23:45:00+00:00,6338.63,6338.88,6335.88,6337.38,421
2025-08-05 00:00:00+00:00,6337.13,6337.38,6334.88,6335.63,659
2025-08-05 00:15:00+00:00,6335.5,6335.88,6333.38,6335.38,373
2025-08-05 00:30:00+00:00,6335.5,6340.63,6335.38,6340.13,292
2025-08-05 00:45:00+00:00,6340.38,6349.13,6338.38,6341.63,1201
2025-08-05 01:00:00+00:00,6341.88,6346.38,6341.13,6342.88,716
2025-08-05 01:15:00+00:00,6342.75,6342.88,6338.63,6340.88,707
2025-08-05 01:30:00+00:00,6341.0,6341.63,6338.13,6341.5,428
2025-08-05 01:45:00+00:00,6341.63,6341.63,6337.38,6338.38,295
2025-08-05 02:00:00+00:00,6338.5,6339.63,6337.38,6337.88,201
2025-08-05 02:15:00+00:00,6337.75,6338.5,6336.88,6337.63,239
2025-08-05 02:30:00+00:00,6337.5,6340.13,6337.38,6337.88,228
2025-08-05 02:45:00+00:00,6338.13,6339.13,6337.0,6338.63,135
2025-08-05 03:00:00+00:00,6338.88,6339.13,6336.88,6338.13,169
2025-08-05 03:15:00+00:00,6338.0,6339.13,6335.88,6337.88,249
2025-08-05 03:30:00+00:00,6338.13,6342.13,6338.13,6341.0,322
2025-08-05 03:45:00+00:00,6341.13,6342.13,6338.38,6338.63,178
2025-08-05 04:00:00+00:00,6338.38,6339.25,6337.13,6337.63,199
2025-08-05 04:15:00+00:00,6337.5,6338.88,6336.88,6338.38,123
2025-08-05 04:30:00+00:00,6338.5,6339.88,6338.38,6339.38,166
2025-08-05 04:45:00+00:00,6339.25,6342.38,6339.13,6342.13,144
2025-08-05 05:00:00+00:00,6342.38,6343.0,6341.38,6342.0,171
2025-08-05 05:15:00+00:00,6341.88,6343.88,6340.13,6343.63,196
2025-08-05 05:30:00+00:00,6343.75,6344.13,6343.13,6343.88,194
2025-08-05 05:45:00+00:00,6344.13,6344.38,6342.63,6343.38,144
2025-08-05 06:00:00+00:00,6343.66,6344.66,6341.66,6344.41,317
2025-08-05 06:15:00+00:00,6344.66,6346.16,6342.91,6344.16,257
2025-08-05 06:30:00+00:00,6343.91,6348.16,6343.66,6347.41,433
2025-08-05 06:45:00+00:00,6347.53,6348.91,6346.66,6348.16,287
2025-08-05 07:00:00+00:00,6348.03,6350.66,6344.66,6345.41,1128
2025-08-05 07:15:00+00:00,6345.53,6346.41,6340.16,6341.41,802
2025-08-05 07:30:00+00:00,6341.16,6343.28,6336.78,6339.91,830
2025-08-05 07:45:00+00:00,6340.03,6341.16,6333.91,6335.16,907
2025-08-05 08:00:00+00:00,6335.28,6337.78,6332.03,6332.66,1472
2025-08-05 08:15:00+00:00,6332.41,6339.16,6331.91,6338.28,840
2025-08-05 08:30:00+00:00,6338.41,6338.66,6335.53,6335.91,452
2025-08-05 08:45:00+00:00,6336.03,6337.16,6335.91,6336.16,345
2025-08-05 09:00:00+00:00,6336.41,6338.41,6334.91,6337.41,486
2025-08-05 09:15:00+00:00,6337.16,6338.41,6336.66,6337.41,320
2025-08-05 09:30:00+00:00,6337.66,6341.91,6336.66,6339.78,307
2025-08-05 09:45:00+00:00,6339.66,6339.66,6337.16,6339.16,190
2025-08-05 10:00:00+00:00,6339.41,6345.16,6338.91,6344.16,489
2025-08-05 10:15:00+00:00,6343.91,6347.66,6343.16,6345.16,550
2025-08-05 10:30:00+00:00,6345.03,6345.91,6342.16,6344.66,667
2025-08-05 10:45:00+00:00,6344.78,6347.91,6344.41,6346.16,349
2025-08-05 11:00:00+00:00,6346.03,6347.28,6344.41,6346.16,440
2025-08-05 11:15:00+00:00,6346.41,6346.91,6343.16,6343.41,380
2025-08-05 11:30:00+00:00,6343.28,6345.41,6340.41,6344.91,702
2025-08-05 11:45:00+00:00,6345.16,6347.66,6343.91,6345.16,559
2025-08-05 12:00:00+00:00,6345.41,6349.91,6343.66,6348.91,785
2025-08-05 12:15:00+00:00,6349.03,6349.16,6336.16,6340.91,2847
2025-08-05 12:30:00+00:00,6341.03,6341.03,6337.41,6339.41,1066
2025-08-05 12:45:00+00:00,6339.28,6341.41,6336.41,6337.41,850
2025-08-05 13:00:00+00:00,6337.53,6339.41,6333.91,6333.91,894
2025-08-05 13:15:00+00:00,6333.66,6337.91,6332.91,6336.91,1037
2025-08-05 13:30:00+00:00,6337.18,6341.68,6330.93,6338.55,6688
2025-08-05 13:45:00+00:00,6338.68,6344.93,6334.93,6337.93,3703
2025-08-05 14:00:00+00:00,6338.05,6338.05,6321.68,6322.93,10574
2025-08-05 14:15:00+00:00,6322.8,6325.43,6310.77,6317.42,5682
2025-08-05 14:30:00+00:00,6317.17,6317.42,6295.04,6296.77,5163
2025-08-05 14:45:00+00:00,6297.02,6298.59,6288.94,6297.5,7576
2025-08-05 15:00:00+00:00,6297.38,6305.26,6292.68,6304.28,5485
2025-08-05 15:15:00+00:00,6304.03,6305.27,6296.35,6298.59,5738
2025-08-05 15:30:00+00:00,6298.72,6302.45,6290.35,6295.56,6831
2025-08-05 15:45:00+00:00,6295.44,6300.53,6291.14,6299.39,4649
2025-08-05 16:00:00+00:00,6299.14,6308.83,6298.2,6304.99,3236
2025-08-05 16:15:00+00:00,6304.74,6310.84,6304.74,6309.42,1908
2025-08-05 16:30:00+00:00,6309.17,6315.76,6301.29,6304.01,3526
2025-08-05 16:45:00+00:00,6303.76,6311.23,6297.3,6308.04,2834
2025-08-05 17:00:00+00:00,6307.92,6312.04,6305.84,6311.06,2583
2025-08-05 17:15:00+00:00,6310.94,6317.25,6307.83,6316.01,1427
2025-08-05 17:30:00+00:00,6316.25,6320.03,6314.25,6318.31,1517
2025-08-05 17:45:00+00:00,6318.43,6322.33,6318.06,6320.61,1119
2025-08-05 18:00:00+00:00,6320.36,6321.35,6312.65,6312.9,1787
2025-08-05 18:15:00+00:00,6313.15,6313.4,6304.94,6305.95,3250
2025-08-05 18:30:00+00:00,6306.07,6308.95,6300.87,6304.52,3063
2025-08-05 18:45:00+00:00,6304.39,6307.1,6297.6,6303.27,3457
2025-08-05 19:00:00+00:00,6303.52,6309.37,6302.28,6307.37,2257
2025-08-05 19:15:00+00:00,6307.62,6310.09,6304.87,6308.56,1608
2025-08-05 19:30:00+00:00,6308.68,6309.31,6301.42,6301.67,1925
2025-08-05 19:45:00+00:00,6301.92,6305.56,6296.56,6298.81,3087
2025-08-05 20:00:00+00:00,6298.89,6303.0,6296.79,6302.51,1487
2025-08-05 20:15:00+00:00,6302.26,6305.99,6295.06,6298.04,1475
2025-08-05 20:30:00+00:00,6298.29,6298.29,6294.31,6296.81,685
2025-08-05 20:45:00+00:00,6297.06,6299.78,6296.06,6297.3,724
2025-08-05 22:00:00+00:00,6297.5,6302.0,6289.63,6289.88,1253
2025-08-05 22:15:00+00:00,6290.13,6295.88,6287.38,6293.88,862
